# frequency_hz	hv_median	hv_plus	hv_minus	hv_std
2.000000000000000111e-01 8.544426380728223913e-01 1.980017532471744168e+00 0.000000000000000000e+00 1.125574894398921888e+00
2.063443866905989021e-01 8.453275700363304113e-01 1.911435439674836312e+00 0.000000000000000000e+00 1.066107869638505790e+00
2.128900295935970133e-01 8.535442704555493698e-01 1.874589695201059447e+00 0.000000000000000000e+00 1.021045424745510077e+00
2.196433129451710320e-01 8.844691828804291944e-01 1.870623100934370786e+00 0.000000000000000000e+00 9.861539180539413696e-01
2.266108235018129413e-01 9.280622388993433614e-01 1.901096613725859363e+00 0.000000000000000000e+00 9.730343748265158910e-01
2.337993569646657221e-01 9.425260090065484819e-01 1.974788247567222488e+00 0.000000000000000000e+00 1.032262238560674117e+00
2.412159246076517050e-01 8.765744917474248554e-01 2.169645042841404692e+00 0.000000000000000000e+00 1.293070551093979725e+00
2.488677601158581221e-01 8.405593150313328543e-01 2.153425313652071793e+00 0.000000000000000000e+00 1.312865998620739383e+00
2.567623266408491367e-01 8.745822272991138346e-01 1.851797025736367397e+00 0.000000000000000000e+00 9.772147984372534513e-01
2.649073240797861772e-01 8.991500715000398936e-01 1.672297417421969357e+00 1.260027255781102640e-01 7.731473459219295741e-01
2.733106965854558701e-01 9.069010666745261906e-01 1.653061644287957765e+00 1.607404890610944492e-01 7.461605776134316859e-01
2.819806403145312390e-01 9.111331254035717198e-01 1.699661043373518643e+00 1.226052074336249076e-01 7.885279179699468122e-01
2.909256114216214884e-01 9.135730309343543798e-01 1.745862462744560695e+00 8.128359912414812039e-02 8.322894318102063149e-01
3.001543343069098535e-01 8.999532354942555434e-01 1.784633444997700602e+00 1.527302599081034953e-02 8.846802095034451696e-01
3.096758101254215023e-01 8.668320777263708310e-01 1.868601055814048895e+00 0.000000000000000000e+00 1.001768978087677953e+00
3.194993255662221809e-01 8.427692153962824673e-01 1.998326581873834051e+00 0.000000000000000000e+00 1.155557366477551584e+00
3.296344619101104212e-01 8.525496420078143567e-01 2.105978718820414652e+00 0.000000000000000000e+00 1.253429076812600407e+00
3.400911043746365214e-01 8.916185961802987059e-01 2.111427352506116684e+00 0.000000000000000000e+00 1.219808756325817756e+00
3.508794517555641201e-01 9.265030312053279538e-01 2.006116821566124031e+00 0.000000000000000000e+00 1.079613790360796299e+00
3.620100263741771740e-01 9.424372460726305745e-01 1.884051157449531777e+00 8.233346957293441459e-04 9.416139113769012026e-01
3.734936843401355788e-01 9.506015371338994990e-01 1.797019909652588954e+00 1.041831646152099056e-01 8.464183725186895657e-01
3.853416261398870390e-01 9.490314269305119010e-01 1.734364197051350365e+00 1.636986568096735206e-01 7.853327701208383527e-01
3.975654075609650895e-01 9.349364901956231932e-01 1.680201428674400699e+00 1.896715517168456600e-01 7.452649384787775055e-01
4.101769509628265808e-01 9.162880125317054425e-01 1.637763893507024227e+00 1.948121315563866862e-01 7.214758809753187840e-01
4.231885569052215024e-01 8.992602099935428361e-01 1.606579733086233919e+00 1.919406869008516980e-01 7.073195230926910826e-01
4.366129161454375684e-01 8.842195602372646679e-01 1.593435154826952305e+00 1.750039656475770589e-01 7.092155945896876368e-01
4.504631220161209870e-01 8.785407941719677316e-01 1.597665451641465895e+00 1.594161367024696241e-01 7.191246574694981630e-01
4.647526831957444204e-01 8.957684943012861334e-01 1.582254142386800622e+00 2.092828462157715896e-01 6.864856480855144882e-01
