Frequency_Hz,HVSR_Amplitude
0.200000,3.078469
0.768571,1.396437
1.337143,1.372136
1.905714,1.427632
2.474286,1.508433
3.042857,1.609017
3.611429,1.731158
4.180000,1.876556
4.748571,2.039784
5.317143,2.206286
5.885715,2.371803
6.454286,2.556158
7.022857,2.783157
7.591429,3.064343
8.160000,3.385565
8.728572,3.579803
9.297143,4.279090
9.865714,5.464188
10.434286,6.056896
11.002858,3.321110
11.571429,6.481367
12.140000,5.376512
12.708571,5.193065
13.277143,5.885912
13.845715,3.524272
14.414285,3.119983
14.982858,2.759927
15.551428,2.418984
16.120001,2.096930
16.688572,1.798913
17.257145,1.535515
17.825716,1.323279
18.394287,1.179072
18.962858,1.109368
19.531429,1.145602
20.100003,1.080414
20.668574,1.091273
21.237145,1.107601
21.805715,1.162522
22.374286,1.147177
22.942859,1.164060
23.511431,1.180973
24.080002,1.196400
24.648572,1.210511
25.217145,1.223557
25.785716,1.235788
26.354288,1.247442
26.922859,1.258747
27.491429,1.269909
28.060002,1.281115
28.628573,1.292510
29.197145,1.304175
29.765716,1.316148
30.334289,1.328081
30.902859,1.252121
31.471430,1.347764
32.040000,1.360386
32.608573,1.371076
33.177143,1.380563
33.745716,1.388921
34.314289,1.396187
34.882859,1.402405
35.451432,1.407618
36.020000,1.411849
36.588573,1.415062
37.157146,1.417126
37.725716,1.417763
38.294289,1.416495
38.862857,1.412664
39.431430,1.405677
40.000003,1.395569
